TC ID,Module,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
CFTP_BREADCRUMB_TC_012,Breadcrumb,Verify switching to Comfortable view using the density view icon,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; The file list is currently shown in Compact view,1. Click on the density view icon (tooltip: ""Switch to comfortable view"") in the top right of the page,N/A,"1. Row height in the file list increases and the icon tooltip changes to ""Switch to compact view""",Low
CFTP_BREADCRUMB_TC_013,Breadcrumb,Verify navigating to the Manage Account page using the account icon,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa,"1. Click on the account icon in the top right of the page
2. Select ""Manage account""",N/A,"1. Menu shows ""Manage account"" and ""Logout"" options
2. Navigates to the Account Management page showing Username, Password (masked, with ""change password"" link), and Home folder (with ""manage files"" link)",Medium
CFTP_TOOLBAR_TC_001,Toolbar,Verify uploading the file by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on Upload icon in the top right of the page
2. Click on ""SELECT FILES""
3. Select the file which need to be uploaded
4. Click on UPLOAD button",File upload: sample_upload_20260707.pdf,"1. ""Upload files"" form appears
2. Browser will be opened
3. The file is added to the form
4. The file is uploaded and is shown in the list of files",Low
CFTP_TOOLBAR_TC_002,Toolbar,Verify cancel uploading the file by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on Upload icon in the top right of the page
2. Click on ""SELECT FILES""
3. Select the file which need to be uploaded
4. Click on CANCEL button",File upload: sample_upload_20260707.pdf,"1. ""Upload files"" form appears
2. Browser will be opened
3. The file is added to the form
4. The file is not uploaded",Medium
CFTP_TOOLBAR_TC_003,Toolbar,Verify uploading the existing file by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on Upload icon in the top right of the page
2. Click on ""SELECT FILES""
3. Select the existing file which need to be uploaded
4. Check on Checkbox ""Overwrite destination?""
5. Click on UPLOAD button",File upload: sample_upload_20260707.pdf,"1. ""Upload files"" form appears
2. Browser will be opened
3. The file is added to the form
5. The file is overwrite uploaded",Low
CFTP_TOOLBAR_TC_004,Toolbar,Verify uploading the existing file (not check the checkbox) by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on Upload icon in the top right of the page
2. Click on ""SELECT FILES""
3. Select the existing file which need to be uploaded
4. Not check on Checkbox ""Overwrite destination?""
5. Click on UPLOAD button",File upload: sample_upload_20260707.pdf,"1. ""Upload files"" form appears
2. Browser will be opened
3. The file is added to the form
5. Error message shows: ""File(s) or folder(s) already exist""",Low
CFTP_TOOLBAR_TC_005,Toolbar,Verify creating the file with content by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on New File or Folder icon in the top right of the page->Select ""New File""
2. Enter content for the new file
3. Click on CREATE button",File content: Automated test content - do not delete,"1. ""New file"" form appears with default name is ""New file.txt"" and editable content
3. The file is created with the entered content",Low
CFTP_TOOLBAR_TC_006,Toolbar,Verify creating the file without content by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on New File or Folder icon in the top right of the page->Select ""New File""
2. Click on CREATE button",N/A,"1. ""New file"" form appears with default name is ""New file.txt"" and editable content
2. The file is created with empty content",Low
CFTP_TOOLBAR_TC_007,Toolbar,Verify canceling creating the file with content by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on New File or Folder icon in the top right of the page->Select ""New File""
2. Enter content for the new file
3. Click on CANCEL button",File content: Automated test content - do not delete,"1. ""New file"" form appears with default name is ""New file.txt"" and editable content
3. The file is not created",Medium
CFTP_TOOLBAR_TC_008,Toolbar,Verify creating the folder by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on New File or Folder icon in the top right of the page->Select ""New Folder""
2. Click on CREATE button",N/A,"1. ""New folder"" form appears with default name is ""New folder""
2. The folder is created",Low
CFTP_TOOLBAR_TC_009,Toolbar,Verify canceling creating the folder  by using the icon in the toolbar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on New File or Folder icon in the top right of the page->Select ""New Folder""
2. Click on CANCEL button",N/A,"1. ""New folder"" form appears with default name is ""New folder""
2. The folder is not created",Medium
CFTP_TOOLBAR_TC_010,Toolbar,Verify searching file by using the icon in the toolbar,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method
- Files are shown as list","1. Click on Search icon in the top right of the page
2. Enter the valid name of the list",N/A,"1. List of language appears
2. The searched file will be shown",Low
CFTP_TOOLBAR_TC_011,Toolbar,Verify searching file by using the icon in the toolbar,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method
- Files are shown as list","1. Click on Search icon in the top right of the page
2. Enter the invalid name of the list",N/A,"1. List of language appears
2. The searched file will be NOT shown",Low
CFTP_TOOLBAR_TC_012,Toolbar,Verify the Download icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Download icon in the toolbar,N/A,1. The Download icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_013,Toolbar,Verify the Cut icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Cut icon in the toolbar,N/A,1. The Cut icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_014,Toolbar,Verify the Copy icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Copy icon in the toolbar,N/A,1. The Copy icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_015,Toolbar,Verify the Paste icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Paste icon in the toolbar,N/A,1. The Paste icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_016,Toolbar,Verify the Rename icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Rename icon in the toolbar,N/A,1. The Rename icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_017,Toolbar,Verify the Delete icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Delete icon in the toolbar,N/A,1. The Delete icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_018,Toolbar,Verify the Share (public) icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Share icon in the toolbar,N/A,1. The Share icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_019,Toolbar,Verify the Share (password) icon is disabled when no file is selected,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file/folder is currently selected,1. Check the state of the Share (password) icon in the toolbar,N/A,1. The Share (password) icon is disabled and cannot be clicked,Medium
CFTP_TOOLBAR_TC_020,Toolbar,Verify the Download icon becomes enabled after selecting an uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Download icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Download icon becomes enabled and can be clicked",Medium
CFTP_TOOLBAR_TC_021,Toolbar,Verify the Cut icon becomes enabled after selecting an uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Cut icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Cut icon becomes enabled and can be clicked",Medium
CFTP_TOOLBAR_TC_022,Toolbar,Verify the Copy icon becomes enabled after selecting an uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Copy icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Copy icon becomes enabled and can be clicked",Medium
CFTP_TOOLBAR_TC_023,Toolbar,Verify the Rename icon becomes enabled after selecting an uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Rename icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Rename icon becomes enabled and can be clicked",Medium
CFTP_TOOLBAR_TC_024,Toolbar,Verify the Delete icon becomes enabled after selecting an uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Delete icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Delete icon becomes enabled and can be clicked",Medium
CFTP_TOOLBAR_TC_025,Toolbar,Verify the Share (public) icon becomes enabled after selecting an uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Share icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Share icon becomes enabled and can be clicked",Medium
CFTP_TOOLBAR_TC_026,Toolbar,Verify the Share (password) icon becomes enabled after selecting an uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Share (password) icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Share (password) icon becomes enabled and can be clicked",Medium
CFTP_TOOLBAR_TC_027,Toolbar,Verify the Paste icon remains disabled after selecting a file when the clipboard is empty,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; An uploaded file exists at the Home root; No file has been Cut or Copied beforehand,"1. Check the checkbox of the uploaded file to select it
2. Check the state of the Paste icon in the toolbar",N/A,"1. The file's checkbox is checked (selected)
2. The Paste icon remains disabled because the clipboard is empty (Paste requires a file to be Cut or Copied first, not just selected)",Medium
CFTP_RIGHTCLICK_TC_001,Right-Click Context Menu,Verify creating the file with content by right click on page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Right click on the page and select ""New file""
2. Enter content for the new file
3. Click on CREATE button",File content: Automated test content - do not delete,"1. ""New file"" form appears with default name is ""New file.txt"" and editable content
3. The file is created with the entered content",High
CFTP_RIGHTCLICK_TC_002,Right-Click Context Menu,Verify creating the file without content by right click on page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Right click on the page and select ""New file""
2. Click on CREATE button",N/A,"1. ""New file"" form appears with default name is ""New file.txt"" and editable content
2. The file is created with empty content",High
CFTP_RIGHTCLICK_TC_003,Right-Click Context Menu,Verify canceling creating the file with content by right click on page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Right click on the page and select ""New file""
2. Enter content for the new file
3. Click on CANCEL button",File content: Automated test content - do not delete,"1. ""New file"" form appears with default name is ""New file.txt"" and editable content
3. The file is not created",Medium
CFTP_RIGHTCLICK_TC_004,Right-Click Context Menu,Verify creating the folder by using right click on page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Right click on the page and select ""New folder""
2. Click on CREATE button",N/A,"1. ""New folder"" form appears with default name is ""New folder""
2. The folder is not created",High
CFTP_RIGHTCLICK_TC_005,Right-Click Context Menu,Verify canceling creating the folder  by right click on page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Right click on the page and select ""New folder""
2. Click on CANCEL button",N/A,"1. ""New folder"" form appears with default name is ""New folder""
2. The folder is not created",Medium
CFTP_RIGHTCLICK_TC_006,Right-Click Context Menu,Verify the Paste option is disabled when the clipboard is empty,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; No file has been Cut or Copied beforehand,1. Right click on the page and check the state of the ""Paste"" option,N/A,"1. ""Option list"" appears with ""Paste"" disabled",Medium
CFTP_RIGHTCLICK_TC_007,Right-Click Context Menu,Verify the Paste option is disabled in the same folder right after copying a file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file and select ""Copy""
2. Right click on the page (same folder) and check the state of the ""Paste"" option",N/A,"1. ""Option list"" appears
2. ""Option list"" appears with ""Paste"" disabled (pasting into the same folder the file was copied from is not offered)",Medium
CFTP_RIGHTCLICK_TC_008,Right-Click Context Menu,Verify pasting a copied file into a different folder by right click on page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser; A destination folder exists at the Home root,"1. Right click on the uploaded file and select ""Copy""
2. Double click on the destination folder to open it
3. Right click on the page and select ""Paste""",N/A,"1. ""Option list"" appears
3. ""Paste"" is enabled and the copied file appears in the destination folder; the original file remains in the source folder",High
